sxn,txndate,ranking,doughnut,plainbrownie,moltenlava,chickenbread,chickenpatties,pastry,cardamomtea,coffee,chickenpizzal,cheesepizzal,zingerburger,chickenburger,chickenpiece,chickenparatharoll,frenchfries,pizzam,pizzas,shawarma
65,3/26/23,O,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
66,3/26/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
67,3/26/23,O,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0
68,3/26/23,O,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
69,3/26/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70,3/26/23,H,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,3/26/23,S,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
72,3/26/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,3/26/23,S,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
74,3/27/23,Se,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,3/27/23,H,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
76,3/27/23,O,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
77,3/27/23,S,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
78,3/27/23,O,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
79,3/27/23,S,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,3/27/23,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,3/27/23,O,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
82,3/27/23,O,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0
83,3/27/23,O,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1
84,3/27/23,O,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
85,3/27/23,O,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
86,3/27/23,H,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,3/27/23,S,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
88,3/27/23,H,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
89,3/27/23,O,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
90,3/27/23,O,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
91,3/27/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,3/27/23,O,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1
93,3/27/23,O,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
94,3/27/23,Se,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,3/27/23,S,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
96,3/27/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,3/27/23,H,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
98,3/27/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,3/27/23,O,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
100,3/27/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101,3/27/23,O,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
102,3/27/23,O,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0
103,3/27/23,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
104,3/27/23,O,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
105,3/27/23,H,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106,3/27/23,O,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
107,3/27/23,S,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1
108,3/27/23,S,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
109,3/27/23,S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
110,3/27/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,3/28/23,S,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
112,3/28/23,Se,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
113,3/28/23,H,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
114,3/28/23,O,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
115,3/28/23,Se,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
116,3/28/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,3/28/23,O,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
118,3/28/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,3/28/23,O,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
120,3/28/23,H,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
121,3/28/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
122,3/28/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
123,3/28/23,S,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
124,3/28/23,Se,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
125,3/28/23,O,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1
126,3/28/23,O,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
127,3/28/23,O,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
128,3/28/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,3/28/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130,3/28/23,O,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
131,3/28/23,O,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
132,3/28/23,O,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
133,3/28/23,S,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
134,3/28/23,H,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
135,3/28/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
136,3/28/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,3/28/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,3/28/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,3/28/23,O,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
140,3/28/23,O,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
141,3/28/23,S,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
142,3/28/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,3/28/23,Se,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
144,3/28/23,O,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
145,3/28/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,3/28/23,Se,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
147,3/28/23,Se,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
148,3/28/23,H,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
149,3/28/23,H,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,3/29/23,O,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0
151,3/29/23,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,3/29/23,Se,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
153,3/29/23,Se,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
154,3/29/23,S,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
155,3/29/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,3/29/23,O,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0
157,3/29/23,Se,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
158,3/29/23,O,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1
159,3/29/23,S,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
160,3/29/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,3/29/23,O,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0
162,3/29/23,H,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
163,3/29/23,S,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
164,3/29/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,3/29/23,O,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0
166,3/29/23,S,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
167,3/29/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,3/29/23,H,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169,3/29/23,O,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
170,3/29/23,Se,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
171,3/29/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
172,3/29/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,3/29/23,O,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
174,3/29/23,O,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
175,3/29/23,H,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,3/29/23,S,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
177,3/29/23,Se,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
178,3/29/23,Se,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
179,3/29/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180,3/29/23,S,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
181,3/29/23,O,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
182,3/30/23,O,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
183,3/30/23,O,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
184,3/30/23,S,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
185,3/30/23,Se,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,3/30/23,S,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
187,3/30/23,S,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
188,3/30/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
189,3/30/23,O,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
190,3/30/23,H,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
191,3/30/23,H,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
192,3/30/23,Se,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
193,3/30/23,O,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
194,3/30/23,H,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
195,3/30/23,S,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
196,3/30/23,H,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
197,3/30/23,Se,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,3/30/23,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,3/30/23,O,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1
200,3/30/23,H,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,3/30/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
202,3/30/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,3/30/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
204,3/30/23,S,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
205,3/30/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,3/30/23,O,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
207,3/30/23,S,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
208,3/30/23,O,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
209,3/30/23,H,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
210,3/30/23,Se,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
211,3/30/23,O,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0
212,3/30/23,S,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
213,3/30/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
214,3/30/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,3/31/23,H,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
216,3/31/23,O,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
217,3/31/23,Se,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
218,3/31/23,Se,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
219,3/31/23,H,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
220,3/31/23,S,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
221,3/31/23,Se,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
222,3/31/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
223,3/31/23,H,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
224,3/31/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,3/31/23,O,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
226,3/31/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,3/31/23,H,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
228,3/31/23,H,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
229,3/31/23,O,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
230,3/31/23,O,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
231,3/31/23,H,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
232,3/31/23,O,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
233,3/31/23,S,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
234,3/31/23,H,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
235,3/31/23,S,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
236,3/31/23,H,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
237,3/31/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,3/31/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,3/31/23,Se,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,3/31/23,O,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
241,3/31/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,3/31/23,O,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
243,3/31/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,3/31/23,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
245,3/31/23,S,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
246,3/31/23,O,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
247,4/1/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
248,4/1/23,H,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
249,4/1/23,S,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
250,4/1/23,O,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
251,4/1/23,H,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,4/1/23,O,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0
253,4/1/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,4/1/23,S,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
255,4/1/23,H,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
256,4/1/23,S,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
257,4/1/23,O,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1
258,4/1/23,S,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
259,4/1/23,O,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
260,4/1/23,O,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0
261,4/1/23,S,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
262,4/1/23,O,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
263,4/1/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
264,4/1/23,S,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
265,4/1/23,H,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
266,4/1/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,4/1/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
268,4/1/23,S,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
269,4/1/23,S,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
270,4/1/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,4/1/23,O,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
272,4/1/23,H,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
273,4/1/23,S,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
274,4/1/23,H,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
275,4/1/23,O,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
276,4/1/23,S,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
277,4/1/23,H,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
278,4/1/23,O,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0
279,4/1/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,4/1/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,4/1/23,Se,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
282,4/1/23,S,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
283,4/1/23,H,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
284,4/1/23,Se,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
285,4/1/23,H,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
286,4/2/23,O,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1
287,4/2/23,H,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
288,4/2/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,4/2/23,H,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
290,4/2/23,O,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
291,4/2/23,S,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
292,4/2/23,O,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1
293,4/2/23,H,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,4/2/23,Se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,4/2/23,O,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
296,4/2/23,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
